#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.475901e+00	3.363253e-09	8.657533e-10	1.491054e-10
2        	6.934604e-01	1.580244e-09	4.067791e-10	7.005800e-11
5        	3.769625e-01	8.590145e-10	2.211236e-10	3.808327e-11
8        	3.012761e-01	6.865419e-10	1.767265e-10	3.043693e-11
16       	1.605026e-01	3.657500e-10	9.414970e-11	1.621504e-11
32       	1.036891e-01	2.362846e-10	6.082330e-11	1.047536e-11
64       	6.243694e-02	1.422800e-10	3.662508e-11	6.307797e-12
128      	3.655975e-02	8.331161e-11	2.144570e-11	3.693510e-12
256      	2.809291e-02	6.401754e-11	1.647911e-11	2.838133e-12
512      	1.856929e-02	4.231533e-11	1.089262e-11	1.875994e-12
1024     	1.160903e-02	2.645443e-11	6.809779e-12	1.172822e-12
2048     	7.320165e-03	1.668104e-11	4.293959e-12	7.395319e-13
4096     	5.072867e-03	1.155995e-11	2.975709e-12	5.124949e-13
8192     	3.226379e-03	7.352208e-12	1.892572e-12	3.259504e-13
16384    	2.207368e-03	5.030105e-12	1.294827e-12	2.230031e-13
