#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	7.807551e-01	2.723762e-09	5.402207e-10	8.796338e-11
2        	3.633300e-01	1.267522e-09	2.513956e-10	4.093439e-11
5        	2.070438e-01	7.222982e-10	1.432579e-10	2.332649e-11
8        	1.627399e-01	5.677383e-10	1.126031e-10	1.833500e-11
16       	8.657519e-02	3.020283e-10	5.990318e-11	9.753950e-12
32       	5.868480e-02	2.047292e-10	4.060524e-11	6.611693e-12
64       	4.358640e-02	1.520566e-10	3.015834e-11	4.910640e-12
128      	2.571495e-02	8.970982e-11	1.779271e-11	2.897162e-12
256      	1.574082e-02	5.491380e-11	1.089140e-11	1.773431e-12
512      	1.046312e-02	3.650191e-11	7.239654e-12	1.178823e-12
1024     	6.856571e-03	2.392000e-11	4.744205e-12	7.724922e-13
2048     	4.317789e-03	1.506315e-11	2.987568e-12	4.864615e-13
4096     	2.996071e-03	1.045217e-11	2.073044e-12	3.375508e-13
8192     	2.170243e-03	7.571162e-12	1.501636e-12	2.445093e-13
16384    	1.365717e-03	4.764474e-12	9.449682e-13	1.538678e-13
