#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	2.295628e+00	4.866700e-09	1.521989e-09	2.746666e-10
2        	6.529792e-01	1.384307e-09	4.329215e-10	7.812745e-11
8        	2.923452e-01	6.197678e-10	1.938232e-10	3.497843e-11
16       	3.034661e-01	6.433440e-10	2.011964e-10	3.630902e-11
32       	1.732264e-01	3.672375e-10	1.148481e-10	2.072614e-11
64       	1.187321e-01	2.517104e-10	7.871871e-11	1.420602e-11
128      	6.984636e-02	1.480733e-10	4.630774e-11	8.356955e-12
256      	4.564192e-02	9.676022e-11	3.026033e-11	5.460950e-12
512      	3.054675e-02	6.475869e-11	2.025233e-11	3.654848e-12
1024     	2.069659e-02	4.387649e-11	1.372172e-11	2.476299e-12
2048     	1.415662e-02	3.001184e-11	9.385761e-12	1.693807e-12
4096     	9.393514e-03	1.991412e-11	6.227847e-12	1.123912e-12
8192     	6.533273e-03	1.385045e-11	4.331523e-12	7.816910e-13
16384    	4.459867e-03	9.454855e-12	2.956866e-12	5.336127e-13
