#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	6.760355e-01	2.358434e-09	5.503451e-10	9.341863e-11
2        	4.365800e-01	1.523064e-09	3.554098e-10	6.032924e-11
4        	2.327976e-01	8.121433e-10	1.895152e-10	3.216936e-11
8        	1.475583e-01	5.147754e-10	1.201238e-10	2.039048e-11
16       	9.075290e-02	3.166028e-10	7.387986e-11	1.254078e-11
32       	5.472594e-02	1.909183e-10	4.455114e-11	7.562358e-12
64       	3.885963e-02	1.355666e-10	3.163473e-11	5.369856e-12
128      	2.664066e-02	9.293926e-11	2.168755e-11	3.681366e-12
256      	1.676516e-02	5.848734e-11	1.364813e-11	2.316710e-12
512      	9.748563e-03	3.400908e-11	7.936083e-12	1.347115e-12
1024     	6.633414e-03	2.314149e-11	5.400111e-12	9.166448e-13
2048     	4.680433e-03	1.632827e-11	3.810234e-12	6.467703e-13
4096     	3.057855e-03	1.066771e-11	2.489330e-12	4.225526e-13
8192     	2.043982e-03	7.130685e-12	1.663959e-12	2.824496e-13
16384    	1.354434e-03	4.725111e-12	1.102614e-12	1.871638e-13
