#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	2.017498e+00	4.277068e-09	1.337590e-09	2.413890e-10
2        	1.093477e+00	2.318157e-09	7.249693e-10	1.308320e-10
4        	6.397529e-01	1.356267e-09	4.241526e-10	7.654496e-11
8        	4.184413e-01	8.870897e-10	2.774242e-10	5.006553e-11
16       	2.709726e-01	5.744580e-10	1.796533e-10	3.242124e-11
32       	1.700713e-01	3.605489e-10	1.127563e-10	2.034864e-11
64       	8.368009e-02	1.774006e-10	5.547943e-11	1.001213e-11
128      	7.360663e-02	1.560450e-10	4.880078e-11	8.806862e-12
256      	4.998553e-02	1.059686e-10	3.314012e-11	5.980653e-12
512      	3.036326e-02	6.436969e-11	2.013067e-11	3.632894e-12
1024     	2.052087e-02	4.350395e-11	1.360522e-11	2.455274e-12
2048     	1.422371e-02	3.015406e-11	9.430239e-12	1.701834e-12
4096     	9.782885e-03	2.073958e-11	6.485998e-12	1.170500e-12
8192     	6.478203e-03	1.373370e-11	4.295012e-12	7.751020e-13
16384    	4.541277e-03	9.627443e-12	3.010841e-12	5.433533e-13
