#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.628588e+00	4.350859e-10	4.412335e-10	1.075448e-10
2        	1.948125e+00	5.204519e-10	5.278057e-10	1.286457e-10
4        	8.951097e-01	2.391333e-10	2.425122e-10	5.910915e-11
8        	6.831442e-01	1.825056e-10	1.850843e-10	4.511187e-11
16       	3.645530e-01	9.739228e-11	9.876840e-11	2.407349e-11
32       	2.667376e-01	7.126038e-11	7.226727e-11	1.761419e-11
64       	1.830517e-01	4.890322e-11	4.959421e-11	1.208793e-11
128      	1.049142e-01	2.802839e-11	2.842442e-11	6.928077e-12
256      	7.792144e-02	2.081713e-11	2.111127e-11	5.145592e-12
512      	4.415114e-02	1.179521e-11	1.196188e-11	2.915549e-12
1024     	2.891768e-02	7.725512e-12	7.834671e-12	1.909598e-12
2048     	1.960215e-02	5.236818e-12	5.310813e-12	1.294441e-12
4096     	1.342597e-02	3.586819e-12	3.637500e-12	8.865926e-13
8192     	9.001820e-03	2.404884e-12	2.438864e-12	5.944410e-13
16384    	6.104028e-03	1.630724e-12	1.653765e-12	4.030834e-13
