#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	9.784735e-01	3.413527e-09	7.965529e-10	1.352113e-10
2        	4.519705e-01	1.576756e-09	3.679389e-10	6.245599e-11
4        	3.467998e-01	1.209854e-09	2.823218e-10	4.792287e-11
8        	2.163087e-01	7.546197e-10	1.760919e-10	2.989082e-11
16       	1.168923e-01	4.077933e-10	9.515934e-11	1.615288e-11
32       	7.621172e-02	2.658741e-10	6.204222e-11	1.053139e-11
64       	5.333188e-02	1.860549e-10	4.341627e-11	7.369719e-12
128      	2.859703e-02	9.976430e-11	2.328019e-11	3.951709e-12
256      	1.929450e-02	6.731127e-11	1.570721e-11	2.666230e-12
512      	1.248064e-02	4.354026e-11	1.016020e-11	1.724649e-12
1024     	7.913535e-03	2.760735e-11	6.442228e-12	1.093540e-12
2048     	5.022500e-03	1.752162e-11	4.088702e-12	6.940391e-13
4096     	3.433994e-03	1.197992e-11	2.795536e-12	4.745299e-13
8192     	2.267559e-03	7.910663e-12	1.845968e-12	3.133449e-13
16384    	1.447941e-03	5.051322e-12	1.178736e-12	2.000851e-13
