#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	1.883604e+00	9.595192e-10	6.800019e-10	1.495109e-10
2        	1.385384e+00	7.057226e-10	5.001387e-10	1.099647e-10
4        	7.584346e-01	3.863511e-10	2.738032e-10	6.020067e-11
8        	3.679327e-01	1.874271e-10	1.328278e-10	2.920462e-11
16       	2.746559e-01	1.399114e-10	9.915382e-11	2.180079e-11
32       	1.898710e-01	9.672143e-11	6.854553e-11	1.507099e-11
64       	1.070770e-01	5.454568e-11	3.865599e-11	8.499229e-12
128      	7.014009e-02	3.572978e-11	2.532134e-11	5.567362e-12
256      	4.738922e-02	2.414035e-11	1.710803e-11	3.761514e-12
512      	3.089052e-02	1.573582e-11	1.115182e-11	2.451932e-12
1024     	2.106938e-02	1.073287e-11	7.606278e-12	1.672380e-12
2048     	1.333131e-02	6.791050e-12	4.812751e-12	1.058172e-12
4096     	9.225715e-03	4.699634e-12	3.330585e-12	7.322901e-13
8192     	6.235423e-03	3.176362e-12	2.251057e-12	4.949361e-13
16384    	4.311058e-03	2.196078e-12	1.556339e-12	3.421897e-13
