#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	9.481106e-01	3.307602e-09	7.718352e-10	1.310156e-10
2        	4.649606e-01	1.622073e-09	3.785138e-10	6.425103e-11
4        	3.454068e-01	1.204995e-09	2.811878e-10	4.773037e-11
8        	1.924694e-01	6.714533e-10	1.566849e-10	2.659657e-11
16       	1.351423e-01	4.714607e-10	1.100162e-10	1.867477e-11
32       	8.032090e-02	2.802095e-10	6.538741e-11	1.109922e-11
64       	4.917320e-02	1.715468e-10	4.003078e-11	6.795047e-12
128      	3.050445e-02	1.064186e-10	2.483298e-11	4.215288e-12
256      	2.099647e-02	7.324879e-11	1.709275e-11	2.901418e-12
512      	1.185672e-02	4.136365e-11	9.652286e-12	1.638433e-12
1024     	7.802896e-03	2.722138e-11	6.352160e-12	1.078251e-12
2048     	5.101134e-03	1.779594e-11	4.152717e-12	7.049053e-13
4096     	3.569873e-03	1.245395e-11	2.906152e-12	4.933065e-13
8192     	2.212846e-03	7.719789e-12	1.801428e-12	3.057843e-13
16384    	1.574330e-03	5.492247e-12	1.281626e-12	2.175504e-13
