#
#Obs time	crab_flux	photon_flux	energy_flux	sensitivity
#s	crab units	ph/cm2/s	erg/cm2/s	erg/cm2/s
1        	7.452670e-01	1.698299e-09	5.091413e-10	9.105033e-11
2        	3.548111e-01	8.085363e-10	2.423950e-10	4.334778e-11
4        	2.162166e-01	4.927101e-10	1.477119e-10	2.641549e-11
8        	1.354367e-01	3.086305e-10	9.252581e-11	1.654650e-11
16       	6.681510e-02	1.522569e-10	4.564583e-11	8.162896e-12
32       	5.100703e-02	1.162338e-10	3.484628e-11	6.231601e-12
64       	3.223255e-02	7.345089e-11	2.202019e-11	3.937897e-12
128      	1.980251e-02	4.512555e-11	1.352840e-11	2.419300e-12
256      	1.276889e-02	2.909750e-11	8.723278e-12	1.559994e-12
512      	8.524349e-03	1.942511e-11	5.823548e-12	1.041432e-12
1024     	5.507940e-03	1.255138e-11	3.762839e-12	6.729129e-13
2048     	3.720935e-03	8.479191e-12	2.542017e-12	4.545919e-13
4096     	2.368271e-03	5.396769e-12	1.617923e-12	2.893351e-13
8192     	1.661681e-03	3.786605e-12	1.135204e-12	2.030099e-13
16384    	1.108767e-03	2.526636e-12	7.574724e-13	1.354597e-13
