# t   ,prefactor            ,prefactor_error      ,index ,pivot ,bg_prefactor      ,bg_prefactor_err    ,bg_index              ,bg_index_err         ,bg_pivot ,loge                ,emin                ,emax ,crab_flux             ,photon_flux            ,energy_flux            ,sensitivity            ,regcoeff           ,nevents   ,npred
# s   ,ph/cm2/s/MeV         ,ph/cm2/s/MeV         ,null  ,MeV   ,ph/cm2/s/MeV      ,ph/cm2/s/MeV        ,null                  ,null                 ,MeV      ,log(GeV)            ,TeV                 ,TeV  ,mCrab                 ,ph/cm2/s               ,erg/cm2/s              ,erg/cm2/s              ,null               ,null      ,null
1     ,4.52170116050158e-11 ,3.88991819524737e-11 ,-2.1  ,1000  ,1.1512536988178   ,0.22548811710235    ,0.00370291632404846   ,0.0793021541255906   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.6546262138641851    ,2.283745087066013e-09  ,5.329162550672335e-10  ,9.046016735487857e-11  ,0.7253213302803577 ,237.0     ,236.9999452302999
2     ,4.43441324500051e-11 ,2.56708835951035e-11 ,-2.1  ,1000  ,1.03030406550688  ,0.155545911719422   ,-0.0204703399206582   ,0.0611267500745104   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.5642878173392569    ,1.968588338271305e-09  ,4.5937382895407503e-10 ,7.797666716019827e-11  ,0.9736669345153107 ,449.0     ,448.99929303941366
4     ,2.80300713292486e-11 ,1.57912984458736e-11 ,-2.1  ,1000  ,1.05954453135422  ,0.11079107315305    ,0.002199485406981     ,0.0424205617419009   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.31746638380082454   ,1.107521023385361e-09  ,2.584421350410095e-10  ,4.386940455477822e-11  ,0.9870200953753635 ,873.0     ,872.9998756298448
8     ,2.0212526122847e-11  ,9.47301724947497e-12 ,-2.1  ,1000  ,1.10344704138534  ,0.0780488715337457  ,0.0201923217767569    ,0.0286960671493317   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.1704835188576078    ,5.94752990899268e-10   ,1.3878674042700304e-10 ,2.3558432767416468e-11 ,0.9961493427881213 ,1741.0    ,1740.9992951338313
16    ,1.79106753651773e-11 ,6.24605380783215e-12 ,-2.1  ,1000  ,1.10168414070887  ,0.0550754555590502  ,0.0227883011576787    ,0.0202871920197265   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.09910427837115215   ,3.457376194902846e-10  ,8.06785303920817e-11   ,1.369482220108414e-11  ,0.9531836604741999 ,3454.0    ,3453.9986284482065
32    ,8.37656082147493e-12 ,3.1969793911849e-12  ,-2.1  ,1000  ,0.994990126683609 ,0.0370234187350941  ,-0.00414186687160102  ,0.0150422087346159   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.053049131640488606  ,1.8506850350820065e-10 ,4.318608691445282e-11  ,7.33064644310928e-12   ,0.9960661782130192 ,6629.0    ,6628.999479143215
64    ,4.03085302393944e-12 ,1.66922536041045e-12 ,-2.1  ,1000  ,1.01976941115052  ,0.0266490959236682  ,0.00398892410596614   ,0.0150422087346159   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.03360581105091047   ,1.1723805777858477e-10 ,2.735772352902422e-11  ,4.643852059967298e-12  ,0.9994381857025888 ,13320.0   ,13319.99989148011
128   ,4.80194678220688e-12 ,1.29031179926811e-12 ,-2.1  ,1000  ,1.01092363608126  ,0.0187737447263078  ,0.00292768505496939   ,0.00752054374818069  ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.02384091229022248   ,8.317199213972101e-11  ,1.9408342388390346e-11 ,3.294479918449992e-12  ,0.9968457214100911 ,26479.0   ,26478.99979131195
256   ,1.60673402418059e-12 ,6.69833781328742e-13 ,-2.1  ,1000  ,0.995828996597617 ,0.0130706320018506  ,-0.000980142103270707 ,0.0053071314606082   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.015773804285321477  ,5.502888102861322e-11  ,1.2841093940122925e-11 ,2.17971866273189e-12   ,0.9858707796123826 ,52607.0   ,52606.99980905462
512   ,1.9362799197865e-12  ,5.07942708575832e-13 ,-2.1  ,1000  ,0.99724621592132  ,0.00929038065473187 ,-0.00155582125600024  ,0.00376856417458647  ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.00948912639583139   ,3.310399939395703e-11  ,7.72488115450759e-12   ,1.3112642659870516e-12 ,0.9970043647128075 ,105513.0  ,105512.99974387711
1024  ,2.06361559285578e-12 ,3.60081067073827e-13 ,-2.1  ,1000  ,0.994982659097311 ,0.00654956263456174 ,-0.00207440824546088  ,0.0026620022538979   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.006641332575442627  ,2.3169115931378337e-11 ,5.4065572227378e-12    ,9.177390753841543e-13  ,0.999147143182495  ,210808.0  ,210807.99920525562
2048  ,1.12857187749165e-12 ,2.0850917122833e-13  ,-2.1  ,1000  ,0.990260336061621 ,0.00459442217402429 ,-0.00422777021800208  ,0.00187444398917776  ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.004385015690905607  ,1.5297673433668383e-11 ,3.5697411605537962e-12 ,6.059477070305444e-13  ,0.9977060031609097 ,421640.0  ,421639.99860727764
4096  ,4.55079935963917e-13 ,1.22162370909024e-13 ,-2.1  ,1000  ,0.99951095329976  ,0.00327280225380452 ,-0.000484005037992573 ,0.00132407683349583  ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.002980235422005453  ,1.0396922486695772e-11 ,2.4261416158983343e-12 ,4.118267636124372e-13  ,0.9993613574296846 ,843628.0  ,843627.999216962
8192  ,4.79536524841927e-13 ,8.49157143908413e-14 ,-2.1  ,1000  ,0.994113272901535 ,0.00230937788249337 ,-0.00216069018329853  ,0.0009392353627607   ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.002055854996656451  ,7.172106232379451e-12  ,1.6736246159655299e-12 ,2.840903451713737e-13  ,0.9988324673440212 ,1684729.0 ,1684728.9984978877
16384 ,2.01682210964584e-13 ,4.96366712444094e-14 ,-2.1  ,1000  ,0.999736546105676 ,0.00163631620679902 ,-0.000279578717781102 ,0.000661891733682257 ,1000000  ,-0.2614393726401687 ,0.03000000000000001 ,10.0 ,0.0014078049897006037 ,4.911303062243091e-12  ,1.1460619008023155e-12 ,1.9453891743750277e-13 ,0.9991300920635621 ,3373473.0 ,3373472.9985159338
