duration,loge,emin,emax,crab_flux,photon_flux,energy_flux,sensitivity,regcoeff,nevents,npred,duration,model_prefactor,model_prefactor_error,model_index,model_index_error,model_pivot,model_pivot_error,background_prefactor,background_prefactor_error,background_index,background_index_error,background_pivot,background_pivot_error
1,-0.2614393726401687,0.03,10.0,0.6760355123321291,2.358434091505791e-09,5.503450761585936e-10,9.341863232518384e-11,0.7763131229760002,237.0,236.99995374554328,1,4.41551867787115e-11,3.78388955101807e-11,-2.1,0,1000,0,1.15254828487728,0.225743838328649,0.00406892865058203,0.0793228075385902,1000000,0
2,-0.2614393726401687,0.03,10.0,0.4365800276767732,1.5230638067983475e-09,3.554098330607413e-10,6.032924061246353e-11,0.975347241176923,421.0,420.9995705397738,2,5.9048152580877e-11,2.9094696922077e-11,-2.1,0,1000,0,1.00906403269731,0.163514151058805,-0.000220607302148496,0.0662254597805215,1000000,0
4,-0.2614393726401687,0.03,10.0,0.232797550452604,8.121432519313042e-10,1.895151708693506e-10,3.216935852513451e-11,0.9621248167572836,847.0,846.999763742632,4,1.72152815829582e-11,1.19899538780865e-11,-2.1,0,1000,0,0.923630310188952,0.104054428658957,-0.0443894790055166,0.0454376648376576,1000000,0
8,-0.2614393726401687,0.03,10.0,0.1475582556318775,5.147753545739394e-10,1.2012380703701595e-10,2.0390482715718032e-11,0.9604690554141708,1668.0,1667.9979575352827,8,2.37241054628164e-11,1.00892143578328e-11,-2.1,0,1000,0,1.04826649542772,0.0755370431246741,0.0169466186780171,0.0292037196321635,1000000,0
16,-0.2614393726401687,0.03,10.0,0.0907528950283306,3.1660277845360926e-10,7.387985988144631e-11,1.25407780781381e-11,0.9586541927056368,3448.0,3447.9996652723644,16,8.98630274865573e-12,4.84587264236723e-12,-2.1,0,1000,0,1.09938436072131,0.0549628793729239,0.0218037331615466,0.0202831885853859,1000000,0
32,-0.2614393726401687,0.03,10.0,0.0547259402403087,1.9091825917133675e-10,4.4551138512686086e-11,7.562357889044904e-12,0.9828073338287248,6741.0,6740.999916125184,32,5.43159694723257e-12,2.70549710773957e-12,-2.1,0,1000,0,1.06071288382052,0.0384674224393678,0.0158468327146385,0.0147165244020006,1000000,0
64,-0.2614393726401687,0.03,10.0,0.0388596263732077,1.3556664694372606e-10,3.1634734634104105e-11,5.369855698748007e-12,0.9884639376775428,13322.0,13321.999862504115,64,6.47333937540964e-12,2.07642516312028e-12,-2.1,0,1000,0,1.01926695993685,0.0266434523095735,0.003942059807928,0.0105862693057882,1000000,0
128,-0.2614393726401687,0.03,10.0,0.0266406610514888,9.29392644290763e-11,2.1687553934435682e-11,3.681365955293474e-12,0.962125347777116,26272.0,26271.999102384172,128,5.28641510885781e-12,1.37059807892924e-12,-2.1,0,1000,0,0.987387767401334,0.0183291354323561,-0.00376257354470701,0.00749911208280612,1000000,0
256,-0.2614393726401687,0.03,10.0,0.0167651569905749,5.848733842341894e-11,1.3648131544095304e-11,2.3167097115558957e-12,0.9964427090428832,52711.0,52710.99983242147,256,2.35082342982632e-12,7.64840851337154e-13,-2.1,0,1000,0,0.990882928867212,0.0130849526126583,-0.00389104206022264,0.00533944449441092,1000000,0
512,-0.2614393726401687,0.03,10.0,0.0097485631899697,3.4009076965660435e-11,7.93608272546628e-12,1.3471147946073988e-12,0.9999030270822707,105508.0,105507.99964241224,512,2.26409721141778e-12,5.1189014711692e-13,-2.1,0,1000,0,0.997151424980466,0.0092906448765244,-0.00154620852762198,0.00376908917037206,1000000,0
1024,-0.2614393726401687,0.03,10.0,0.0066334139837554,2.3141490937940805e-11,5.4001108780330595e-12,9.166448370019068e-13,0.9968362789213364,210808.0,210807.99925897433,1024,1.86989153076812e-12,3.40960368824714e-13,-2.1,0,1000,0,0.995100193263081,0.00654998708061599,-0.00204377169953418,0.00266193489912959,1000000,0
4096,-0.2614393726401687,0.03,10.0,0.0030578545403358,1.0667706449200311e-11,2.489329568024628e-12,4.2255263783715093e-13,0.9999406014738002,843632.0,843631.9993219007,4096,4.07701938970433e-13,1.16622443529564e-13,-2.1,0,1000,0,0.999454384537553,0.00327269160980898,-0.000515162375740602,0.00132412501233112,1000000,0
8192,-0.2614393726401687,0.03,10.0,0.0020439818892451,7.130685418265208e-12,1.6639589902945157e-12,2.824496481435091e-13,0.9989335376927112,1687103.0,1687102.9988670447,8192,3.14634408000517e-13,7.81221091135415e-14,-2.1,0,1000,0,1.00013278634999,0.00231417577107359,-0.000192127726453154,0.000935688973613012,1000000,0
16384,-0.2614393726401687,0.03,10.0,0.0013544336952135,4.725110653516319e-12,1.1026135484697457e-12,1.871637526045177e-13,0.9997388992598766,3373484.0,3373483.9982086844,16384,2.53062485155118e-13,5.34852546075882e-14,-2.1,0,1000,0,0.999661559883604,0.00163634128538581,-0.000308365781606606,0.000661940341493629,1000000,0
