event_id,long,lat,eiso,dist,angle,time_utc,seen,obs_time,end_time
0,5.923,1.053,2.86e+49,263000.0,63.682,2012-06-29 01:24:30.971,False,-1,-1
1,1.666,-0.917,3.08e+50,1280000.0,28.794,2011-10-28 00:12:50.906,True,2,62
2,1.653,-0.551,5.73e+47,909000.0,59.989,2012-01-16 13:16:18.682,False,-1,-1
3,0.749,1.098,6.66e+48,1290000.0,55.033,2012-09-10 11:15:45.680,False,-1,-1
4,3.623,0.586,1.95e+49,349000.0,28.554,2012-01-03 04:56:29.356,True,1,61
5,3.324,0.39,1.3199999999999999e+51,1050000.0,20.445,2012-05-07 03:20:42.017,True,1,61
6,2.958,-0.543,4.5000000000000006e+51,315000.0,79.246,2012-08-22 07:26:53.204,False,-1,-1
7,0.515,-1.015,1.14e+50,842000.0,10.595,2011-10-27 13:39:00.427,True,1,61
8,5.983,0.956,2.4399999999999998e+51,749000.0,27.651,2011-12-10 22:27:53.891,True,1,61
9,4.45,-0.501,5.3e+47,389000.0,85.783,2011-10-05 09:35:28.464,False,-1,-1
10,2.704,-0.399,1.43e+51,256000.0,61.837,2012-02-28 17:47:38.558,False,-1,-1
11,5.082,0.526,9.749999999999989e+49,812000.0,44.962,2012-09-09 21:59:18.633,False,-1,-1
12,4.414,0.116,9.78999999999999e+47,523000.0,59.557,2012-08-17 00:26:10.783,False,-1,-1
13,4.022,-0.774,5.29e+48,1250000.0,61.396,2011-09-27 09:51:02.163,False,-1,-1
14,0.066,-1.257,4.86e+51,814000.0,29.112,2011-11-28 14:34:50.517,True,2,62
15,5.748,0.931,1.23e+48,1680000.0,30.688,2012-05-30 12:06:52.970,False,-1,-1
16,5.47,0.136,3.07e+51,381000.0,57.196,2012-03-17 12:53:27.590,False,-1,-1
17,1.408,-0.766,1.66e+51,943000.0,54.848,2012-08-01 04:37:59.791,False,-1,-1
18,1.316,-0.644,4.520000000000001e+50,808000.0,30.68,2012-08-28 16:25:04.787,True,122,182
19,0.608,-1.121,2.2599999999999998e+51,748000.0,55.647,2012-03-08 13:11:44.823,False,-1,-1
20,6.248,0.348,1.1299999999999999e+51,451000.0,58.015,2011-11-19 18:31:50.761,False,-1,-1
21,3.327,-0.197,5.680000000000001e+50,973000.0,20.949,2012-03-11 06:56:40.506,True,1,61
22,0.373,-0.435,1.8099999999999998e+47,217000.0,14.79,2012-08-02 18:36:02.537,True,1,61
23,4.327,-0.996,1.56e+47,822000.0,32.919,2012-05-26 14:22:05.950,False,-1,-1
24,5.087,1.058,3.87e+50,266000.0,1.854,2012-02-19 15:38:24.314,True,1,61
25,0.688,-1.261,1.8e+50,658000.0,53.048,2011-12-02 22:07:24.905,False,-1,-1
26,3.975,0.497,1.23e+48,287000.0,13.167,2012-01-16 03:01:44.533,True,1,61
27,4.858,-0.181,7.17e+49,906000.0,36.501,2012-02-01 04:35:19.020,False,-1,-1
28,2.043,1.437,1.67e+50,76400.0,30.842,2012-05-27 02:40:41.409,True,1241,1301
29,1.294,0.209,2.1e+50,431000.0,49.067,2012-04-27 18:06:54.203,False,-1,-1
30,0.65,-0.509,5.26e+50,282000.0,41.576,2012-06-16 06:57:40.333,False,-1,-1
31,3.803,-1.528,9.82e+46,4470000.0,13.429,2012-01-11 00:05:44.795,False,-1,-1
32,3.681,-0.257,5.3e+47,1150000.0,29.946,2011-12-20 02:33:53.449,False,-1,-1
33,5.033,-1.064,6.61e+51,1160000.0,36.942,2012-01-05 23:22:23.681,False,-1,-1
34,2.898,-0.817,7.150000000000001e+50,610000.0,28.994,2012-02-25 18:55:31.975,True,1677,1737
35,6.236,0.61,2.4399999999999998e+51,469000.0,33.234,2012-04-24 01:26:36.188,True,1,61
36,5.953,1.056,6.61e+51,275000.0,26.522,2012-01-07 09:50:51.091,True,527,587
37,0.65,-1.249,4.5000000000000006e+51,595000.0,31.522,2011-11-04 20:43:00.601,False,-1,-1
38,5.299,-0.189,1.44e+48,1040000.0,32.684,2012-03-26 02:20:47.833,False,-1,-1
39,1.76,0.423,4.520000000000001e+50,550000.0,60.485,2012-02-01 01:43:13.601,False,-1,-1
40,2.932,-0.867,2.09e+51,818000.0,43.659,2012-06-25 04:20:57.443,False,-1,-1
41,2.259,-1.137,6.14e+50,45200.0,20.0,2012-02-02 09:29:34.406,True,1,61
42,2.906,1.271,5.28e+49,337000.0,67.104,2012-01-26 07:27:15.689,False,-1,-1
43,2.649,-0.504,1.3300000000000002e+49,417000.0,61.74,2012-06-30 00:59:14.516,False,-1,-1
44,5.995,0.021,4.18e+50,892000.0,25.19,2012-07-21 06:38:57.302,True,1,61
45,1.944,-0.385,5.680000000000001e+50,1290000.0,59.062,2011-12-06 19:47:43.907,False,-1,-1
46,4.352,0.883,3.61e+47,1090000.0,12.12,2012-03-29 07:18:28.359,False,-1,-1
47,2.971,-0.854,1.2199999999999999e+51,532000.0,27.07,2012-01-13 10:20:19.155,True,1,61
48,4.475,1.37,1.54e+50,938000.0,43.012,2011-10-20 13:58:48.811,False,-1,-1
49,0.789,-0.746,3.08e+50,758000.0,7.268,2012-01-16 05:54:39.123,True,1,61
50,1.401,-0.592,6.17e+48,1370000.0,30.347,2012-04-20 08:22:51.577,False,-1,-1
51,3.368,0.777,5.3e+47,547000.0,16.498,2012-02-27 01:39:02.828,True,1,61
52,3.893,-0.902,3.32e+50,1340000.0,25.515,2012-03-25 19:13:01.105,True,1,61
53,2.782,-0.062,3.87e+50,3060000.0,20.097,2012-07-09 09:31:37.474,True,10,70
54,3.443,0.181,9.03e+49,202000.0,44.973,2012-05-22 03:30:31.236,False,-1,-1
55,4.924,-0.788,2.2599999999999998e+51,636000.0,74.89,2011-09-19 06:55:52.112,False,-1,-1
56,1.836,0.459,4.5000000000000006e+51,894000.0,16.733,2012-03-30 00:07:16.975,True,1,61
57,3.145,0.103,6.14e+50,522000.0,56.834,2012-08-06 20:02:32.447,True,47,107
58,0.76,-0.436,1.94e+50,267000.0,79.921,2011-11-11 17:13:41.955,False,-1,-1
59,6.143,1.003,1.44e+48,789000.0,14.012,2012-04-18 02:28:03.357,True,6,66
60,5.675,-0.839,1.3300000000000002e+49,714000.0,38.837,2012-02-08 01:22:54.595,True,16,76
61,2.856,0.536,4.21e+47,474000.0,44.475,2012-08-03 19:16:14.825,False,-1,-1
62,5.793,-0.707,3.88e+49,249000.0,82.913,2011-10-17 16:27:33.934,False,-1,-1
63,2.572,0.881,9.05e+48,670000.0,25.541,2012-03-12 03:20:32.006,False,-1,-1
64,5.689,1.396,2.46e+48,784000.0,56.65,2012-04-14 14:09:58.080,True,1,61
